profession	name	lv	region	location	quantity	coordinates	time	npc	bait	weather	special	note
mining	Adamantite Ore	60	Abalathia's Spine	Azys Lla		24.1, 6.4	12am, 12pm					
hunting	Dhalmel Hide	56	Abalathia's Spine	The Sea of Clouds		17, 32		Dhalmel				
hunting	Dhalmel Saliva	56	Abalathia's Spine	The Sea of Clouds		17, 32		Dhalmel				
logging	Birch Log	60	Abalathia's Spine	The Sea of Clouds		26.4, 33.6						hidden
logging	Wind Widow	60	Abalathia's Spine	The Sea of Clouds		26.4, 33.6						
logging	Birch Branch	60	Abalathia's Spine	The Sea of Clouds		26.4, 33.6						
logging	Birch Sap	60	Abalathia's Spine	The Sea of Clouds		26.4, 33.6						
logging	Cloud Mushroom	60	Abalathia's Spine	The Sea of Clouds		26.4, 33.6						
logging	Abalathian Mistletoe	60	Abalathia's Spine	The Sea of Clouds		34, 19.1	6am, 6pm					
logging	Heavens Lemon	60	Abalathia's Spine	The Sea of Clouds		34, 19.1	6am, 6pm					
mining	Abalathian Spring Water	60	Abalathia's Spine	The Sea of Clouds		34.9, 30.6						
mining	Aurum Regis Sand	60	Abalathia's Spine	The Sea of Clouds		34.9, 30.6						
fishing	Northern Pike	45	Coerthas	Coerthas Central Highlands		6, 22			freshwater			
fishing	Cloud Cutter	48	Coerthas	Coerthas Central Highlands		13, 15			skyfishing			
hunting	Fleece	35	Coerthas	Coerthas Central Highlands		27, 20		Ornery Caracul				
hunting	Wolf Fang	35-37, 46, 48	Coerthas	Coerthas Central Highlands		"31, 18; 12, 31; 22, 29"		Natalan Watchwolf, Snow Wolf, Snow Wolf Pup				
hunting	Karakul Skin	35-39	Coerthas	Coerthas Central Highlands		21, 16		Ornery Caracul				
logging	Mirror Apple	45	Coerthas	Coerthas Central Highlands		23, 18						
logging	Mistletoe	45	Coerthas	Coerthas Central Highlands		23, 18						
logging	Spruce Log	50	Coerthas	Coerthas Central Highlands		29.1, 12.9	9am					
mining	Jade	40	Coerthas	Coerthas Central Highlands		24, 20						
mining	Raw Zircon	40	Coerthas	Coerthas Central Highlands		24, 20						
mining	Darksteel Ore	50	Coerthas	Coerthas Central Highlands		27.5, 20.1	1am					
harvesting	Chysahl Greens	60	Coerthas	Coerthas Western Highlands		9.2, 10.6	8am, 8pm					
harvesting	Rue	60	Coerthas	Coerthas Western Highlands		14, 15.3						
harvesting	Coriander	60	Coerthas	Coerthas Western Highlands		14, 15.3						
harvesting	Whitefrost Cotton Boll	60	Coerthas	Coerthas Western Highlands		14, 15.3						
hunting	Deepeye Tears	50	Coerthas	Coerthas Western Highlands		31.5, 31.5		Deepeye				
